  0%|          | 0/1674 [00:00<?, ?it/s]/usr/local/lib/python3.10/dist-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
 12%|█▏        | 209/1674 [13:48<1:22:25,  3.38/usr/local/lib/python3.10/dist-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
 25%|██▍       | 418/1674 [27:39<1:09:45,  3.33/usr/local/lib/python3.10/dist-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
 37%|███▋      | 627/1674 [41:27<1:02:33,  3.59/usr/local/lib/python3.10/dist-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
 41%|████      | 690/1674 [45:28<59:36,  3.63s/it]
{'loss': 0.689, 'grad_norm': 35.62937545776367, 'learning_rate': 1.076555023923445e-08, 'rewards/chosen': 0.0020385743118822575, 'rewards/rejected': -0.009241485968232155, 'rewards/accuracies': 0.3583333492279053, 'rewards/margins': 0.011279297061264515, 'logps/chosen': -113.9000015258789, 'logps/rejected': -126.3499984741211, 'logits/chosen': -7.815625190734863, 'logits/rejected': -7.800000190734863, 'epoch': 0.02}
{'loss': 0.7112, 'grad_norm': 35.65406799316406, 'learning_rate': 2.2727272727272725e-08, 'rewards/chosen': 0.00915044266730547, 'rewards/rejected': 0.02467041090130806, 'rewards/accuracies': 0.5000000596046448, 'rewards/margins': -0.01541748084127903, 'logps/chosen': -146.5500030517578, 'logps/rejected': -172.0500030517578, 'logits/chosen': -7.853125095367432, 'logits/rejected': -7.6875, 'epoch': 0.04}
{'loss': 0.6875, 'grad_norm': 35.26484298706055, 'learning_rate': 3.4688995215311006e-08, 'rewards/chosen': 0.0054534911178052425, 'rewards/rejected': -0.0071624754928052425, 'rewards/accuracies': 0.44999998807907104, 'rewards/margins': 0.012638854794204235, 'logps/chosen': -153.3000030517578, 'logps/rejected': -182.4499969482422, 'logits/chosen': -7.690625190734863, 'logits/rejected': -7.709374904632568, 'epoch': 0.05}
{'loss': 0.7018, 'grad_norm': 34.1948356628418, 'learning_rate': 4.6650717703349284e-08, 'rewards/chosen': -0.0002593994140625, 'rewards/rejected': 0.00914688128978014, 'rewards/accuracies': 0.4333333373069763, 'rewards/margins': -0.00935211218893528, 'logps/chosen': -103.5250015258789, 'logps/rejected': -129.27499389648438, 'logits/chosen': -7.693749904632568, 'logits/rejected': -7.471875190734863, 'epoch': 0.07}
{'loss': 0.6892, 'grad_norm': 27.68714141845703, 'learning_rate': 5.8612440191387555e-08, 'rewards/chosen': 0.00831527728587389, 'rewards/rejected': -0.0028045654762536287, 'rewards/accuracies': 0.44166669249534607, 'rewards/margins': 0.011126709170639515, 'logps/chosen': -141.35000610351562, 'logps/rejected': -175.5, 'logits/chosen': -7.971875190734863, 'logits/rejected': -7.840624809265137, 'epoch': 0.09}
{'loss': 0.6855, 'grad_norm': 31.468725204467773, 'learning_rate': 7.057416267942583e-08, 'rewards/chosen': 0.008189392276108265, 'rewards/rejected': -0.007981491275131702, 'rewards/accuracies': 0.46666669845581055, 'rewards/margins': 0.016204070299863815, 'logps/chosen': -101.5, 'logps/rejected': -145.1999969482422, 'logits/chosen': -8.012499809265137, 'logits/rejected': -7.884375095367432, 'epoch': 0.11}
{'loss': 0.6964, 'grad_norm': 39.72307586669922, 'learning_rate': 8.253588516746412e-08, 'rewards/chosen': -0.003918456844985485, 'rewards/rejected': 0.0034215301275253296, 'rewards/accuracies': 0.38333335518836975, 'rewards/margins': -0.0073699951171875, 'logps/chosen': -109.05000305175781, 'logps/rejected': -129.60000610351562, 'logits/chosen': -7.934374809265137, 'logits/rejected': -7.659375190734863, 'epoch': 0.13}
{'loss': 0.6943, 'grad_norm': 37.286415100097656, 'learning_rate': 9.449760765550238e-08, 'rewards/chosen': -0.009220886044204235, 'rewards/rejected': -0.009930419735610485, 'rewards/accuracies': 0.4166666567325592, 'rewards/margins': 0.0007230758783407509, 'logps/chosen': -99.2249984741211, 'logps/rejected': -138.1999969482422, 'logits/chosen': -7.837500095367432, 'logits/rejected': -7.59375, 'epoch': 0.14}
{'loss': 0.6809, 'grad_norm': 35.998748779296875, 'learning_rate': 1.0645933014354067e-07, 'rewards/chosen': 0.02926788292825222, 'rewards/rejected': -0.01371154747903347, 'rewards/accuracies': 0.4749999940395355, 'rewards/margins': 0.04293213039636612, 'logps/chosen': -187.85000610351562, 'logps/rejected': -224.3000030517578, 'logits/chosen': -7.753125190734863, 'logits/rejected': -7.559374809265137, 'epoch': 0.16}
{'loss': 0.6805, 'grad_norm': 28.889057159423828, 'learning_rate': 1.1842105263157894e-07, 'rewards/chosen': 0.006924438290297985, 'rewards/rejected': -0.02480774000287056, 'rewards/accuracies': 0.40833330154418945, 'rewards/margins': 0.03175048902630806, 'logps/chosen': -142.89999389648438, 'logps/rejected': -159.1999969482422, 'logits/chosen': -7.856249809265137, 'logits/rejected': -7.737500190734863, 'epoch': 0.18}
{'loss': 0.692, 'grad_norm': 34.620052337646484, 'learning_rate': 1.3038277511961721e-07, 'rewards/chosen': -0.001300811767578125, 'rewards/rejected': -0.0074829100631177425, 'rewards/accuracies': 0.4333333373069763, 'rewards/margins': 0.0061706542037427425, 'logps/chosen': -97.5999984741211, 'logps/rejected': -122.25, 'logits/chosen': -7.846875190734863, 'logits/rejected': -7.631249904632568, 'epoch': 0.2}
