  0%|          | 0/4545 [00:00<?, ?it/s]/usr/local/lib/python3.10/dist-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                    
{'loss': 0.6923, 'grad_norm': 28.87850570678711, 'learning_rate': 2.3778071334214e-09, 'rewards/chosen': -0.00383415212854743, 'rewards/rejected': -0.00905761681497097, 'rewards/accuracies': 0.24375000596046448, 'rewards/margins': 0.005194473080337048, 'logps/chosen': -448.6000061035156, 'logps/rejected': -256.82501220703125, 'logits/chosen': -6.0625, 'logits/rejected': -6.165625095367432, 'epoch': 0.01}
{'loss': 0.6903, 'grad_norm': 25.9344425201416, 'learning_rate': 5.019815059445178e-09, 'rewards/chosen': 0.0017501830589026213, 'rewards/rejected': -0.004422378726303577, 'rewards/accuracies': 0.42500001192092896, 'rewards/margins': 0.0061798095703125, 'logps/chosen': -254.8249969482422, 'logps/rejected': -121.25, 'logits/chosen': -6.278124809265137, 'logits/rejected': -6.659375190734863, 'epoch': 0.01}
{'loss': 0.6913, 'grad_norm': 27.11348533630371, 'learning_rate': 7.661822985468955e-09, 'rewards/chosen': -0.0011688232189044356, 'rewards/rejected': -0.004374695010483265, 'rewards/accuracies': 0.48124998807907104, 'rewards/margins': 0.003173828125, 'logps/chosen': -283.1000061035156, 'logps/rejected': -142.39999389648438, 'logits/chosen': -6.193749904632568, 'logits/rejected': -6.546875, 'epoch': 0.02}
{'loss': 0.6961, 'grad_norm': 170.31991577148438, 'learning_rate': 1.0303830911492733e-08, 'rewards/chosen': -0.0036727904807776213, 'rewards/rejected': 0.004199218936264515, 'rewards/accuracies': 0.4124999940395355, 'rewards/margins': -0.00787353515625, 'logps/chosen': -416.25, 'logps/rejected': -175.3000030517578, 'logits/chosen': -6.271874904632568, 'logits/rejected': -6.559374809265137, 'epoch': 0.03}
{'loss': 0.72, 'grad_norm': 193.78683471679688, 'learning_rate': 1.2945838837516512e-08, 'rewards/chosen': -0.04097442701458931, 'rewards/rejected': -0.010577392764389515, 'rewards/accuracies': 0.45625001192092896, 'rewards/margins': -0.03050079382956028, 'logps/chosen': -366.79998779296875, 'logps/rejected': -201.25, 'logits/chosen': -6.287499904632568, 'logits/rejected': -6.471875190734863, 'epoch': 0.03}
{'loss': 0.6943, 'grad_norm': 36.327247619628906, 'learning_rate': 1.5587846763540292e-08, 'rewards/chosen': 5.798339770990424e-05, 'rewards/rejected': -0.0003612518194131553, 'rewards/accuracies': 0.4375, 'rewards/margins': 0.0004180908144917339, 'logps/chosen': -227.35000610351562, 'logps/rejected': -122.6500015258789, 'logits/chosen': -6.381249904632568, 'logits/rejected': -6.587500095367432, 'epoch': 0.04}
{'loss': 0.6949, 'grad_norm': 46.936302185058594, 'learning_rate': 1.8229854689564068e-08, 'rewards/chosen': 0.009197997860610485, 'rewards/rejected': 0.0087432861328125, 'rewards/accuracies': 0.46875, 'rewards/margins': 0.0004531860467977822, 'logps/chosen': -315.8500061035156, 'logps/rejected': -154.97500610351562, 'logits/chosen': -6.15625, 'logits/rejected': -6.5625, 'epoch': 0.05}
{'loss': 0.7118, 'grad_norm': 177.55052185058594, 'learning_rate': 2.0871862615587847e-08, 'rewards/chosen': 0.0001312255917582661, 'rewards/rejected': 0.011016845703125, 'rewards/accuracies': 0.40625, 'rewards/margins': -0.01098785363137722, 'logps/chosen': -352.8500061035156, 'logps/rejected': -216.5749969482422, 'logits/chosen': -6.237500190734863, 'logits/rejected': -6.425000190734863, 'epoch': 0.05}
{'loss': 0.6987, 'grad_norm': 31.786359786987305, 'learning_rate': 2.3513870541611623e-08, 'rewards/chosen': -0.010340499691665173, 'rewards/rejected': -0.0018669128185138106, 'rewards/accuracies': 0.3499999940395355, 'rewards/margins': -0.008480834774672985, 'logps/chosen': -322.1499938964844, 'logps/rejected': -167.39999389648438, 'logits/chosen': -6.368750095367432, 'logits/rejected': -6.650000095367432, 'epoch': 0.06}
{'loss': 0.6931, 'grad_norm': 21.8785400390625, 'learning_rate': 2.61558784676354e-08, 'rewards/chosen': -0.0063575743697583675, 'rewards/rejected': -0.00888671912252903, 'rewards/accuracies': 0.36250001192092896, 'rewards/margins': 0.0025421143509447575, 'logps/chosen': -330.6000061035156, 'logps/rejected': -159.83749389648438, 'logits/chosen': -6.309374809265137, 'logits/rejected': -6.671875, 'epoch': 0.07}
{'loss': 0.6922, 'grad_norm': 280.2314453125, 'learning_rate': 2.8797886393659182e-08, 'rewards/chosen': 0.0023071288596838713, 'rewards/rejected': -0.0005950927734375, 'rewards/accuracies': 0.4749999940395355, 'rewards/margins': 0.0028961182106286287, 'logps/chosen': -221.4499969482422, 'logps/rejected': -128.39999389648438, 'logits/chosen': -6.315625190734863, 'logits/rejected': -6.650000095367432, 'epoch': 0.07}
{'loss': 0.6934, 'grad_norm': 25.85157012939453, 'learning_rate': 3.143989431968296e-08, 'rewards/chosen': 0.0007499695057049394, 'rewards/rejected': -0.0011720657348632812, 'rewards/accuracies': 0.41874998807907104, 'rewards/margins': 0.0019298553233966231, 'logps/chosen': -429.95001220703125, 'logps/rejected': -149.72500610351562, 'logits/chosen': -6.121874809265137, 'logits/rejected': -6.662499904632568, 'epoch': 0.08}
{'loss': 0.6839, 'grad_norm': 164.9919891357422, 'learning_rate': 3.408190224570674e-08, 'rewards/chosen': 0.01859741285443306, 'rewards/rejected': -0.02950439415872097, 'rewards/accuracies': 0.4124999940395355, 'rewards/margins': 0.04812011867761612, 'logps/chosen': -399.0, 'logps/rejected': -264.3999938964844, 'logits/chosen': -6.171875, 'logits/rejected': -6.381249904632568, 'epoch': 0.09}
{'loss': 0.689, 'grad_norm': 166.187255859375, 'learning_rate': 3.672391017173051e-08, 'rewards/chosen': 0.0402069091796875, 'rewards/rejected': 0.0060256957076489925, 'rewards/accuracies': 0.44999998807907104, 'rewards/margins': 0.03410301357507706, 'logps/chosen': -325.25, 'logps/rejected': -180.875, 'logits/chosen': -6.425000190734863, 'logits/rejected': -6.78125, 'epoch': 0.09}
{'loss': 0.6915, 'grad_norm': 17.476686477661133, 'learning_rate': 3.936591809775429e-08, 'rewards/chosen': 0.02817401848733425, 'rewards/rejected': 0.010516357608139515, 'rewards/accuracies': 0.48750001192092896, 'rewards/margins': 0.01770782470703125, 'logps/chosen': -282.79998779296875, 'logps/rejected': -116.92500305175781, 'logits/chosen': -6.34375, 'logits/rejected': -6.6875, 'epoch': 0.1}
{'loss': 0.6984, 'grad_norm': 92.65324401855469, 'learning_rate': 4.2007926023778065e-08, 'rewards/chosen': 0.04278106614947319, 'rewards/rejected': 0.02782898023724556, 'rewards/accuracies': 0.4437499940395355, 'rewards/margins': 0.014936065301299095, 'logps/chosen': -294.79998779296875, 'logps/rejected': -159.64999389648438, 'logits/chosen': -6.203125, 'logits/rejected': -6.618750095367432, 'epoch': 0.11}
{'loss': 0.6693, 'grad_norm': 33.58612060546875, 'learning_rate': 4.464993394980185e-08, 'rewards/chosen': 0.13247528672218323, 'rewards/rejected': 0.03274383395910263, 'rewards/accuracies': 0.4375, 'rewards/margins': 0.09961394965648651, 'logps/chosen': -464.29998779296875, 'logps/rejected': -206.0500030517578, 'logits/chosen': -6.053124904632568, 'logits/rejected': -6.706250190734863, 'epoch': 0.11}
{'loss': 0.6783, 'grad_norm': 24.25125503540039, 'learning_rate': 4.7291941875825624e-08, 'rewards/chosen': 0.084813691675663, 'rewards/rejected': 0.0034500123001635075, 'rewards/accuracies': 0.41874998807907104, 'rewards/margins': 0.08138008415699005, 'logps/chosen': -283.95001220703125, 'logps/rejected': -182.125, 'logits/chosen': -6.328125, 'logits/rejected': -6.590624809265137, 'epoch': 0.12}
{'loss': 0.7174, 'grad_norm': 24.348413467407227, 'learning_rate': 4.99339498018494e-08, 'rewards/chosen': 0.07454834133386612, 'rewards/rejected': 0.025920867919921875, 'rewards/accuracies': 0.5062500238418579, 'rewards/margins': 0.04845886304974556, 'logps/chosen': -301.6499938964844, 'logps/rejected': -155.625, 'logits/chosen': -6.300000190734863, 'logits/rejected': -6.728125095367432, 'epoch': 0.13}
{'loss': 0.6739, 'grad_norm': 133.1405029296875, 'learning_rate': 5.2575957727873176e-08, 'rewards/chosen': 0.14817199110984802, 'rewards/rejected': 0.04987678676843643, 'rewards/accuracies': 0.518750011920929, 'rewards/margins': 0.09820251166820526, 'logps/chosen': -355.0249938964844, 'logps/rejected': -241.0500030517578, 'logits/chosen': -6.175000190734863, 'logits/rejected': -6.587500095367432, 'epoch': 0.13}
