  0%|          | 0/4545 [00:00<?, ?it/s]/usr/local/lib/python3.10/dist-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                    
{'loss': 0.7374, 'grad_norm': 60.89891815185547, 'learning_rate': 2.3778071334214e-09, 'rewards/chosen': -0.05753784254193306, 'rewards/rejected': -0.0015518188010901213, 'rewards/accuracies': 0.23749999701976776, 'rewards/margins': -0.05585326999425888, 'logps/chosen': -448.6499938964844, 'logps/rejected': -256.7749938964844, 'logits/chosen': -6.0625, 'logits/rejected': -6.165625095367432, 'epoch': 0.01}
{'loss': 0.7108, 'grad_norm': 53.53396224975586, 'learning_rate': 5.019815059445178e-09, 'rewards/chosen': 0.0084686279296875, 'rewards/rejected': 0.014401244930922985, 'rewards/accuracies': 0.39375001192092896, 'rewards/margins': -0.0059265135787427425, 'logps/chosen': -254.85000610351562, 'logps/rejected': -121.07499694824219, 'logits/chosen': -6.28125, 'logits/rejected': -6.671875, 'epoch': 0.01}
{'loss': 0.7057, 'grad_norm': 51.2675666809082, 'learning_rate': 7.661822985468955e-09, 'rewards/chosen': -0.01331481896340847, 'rewards/rejected': -0.0050750733353197575, 'rewards/accuracies': 0.42500001192092896, 'rewards/margins': -0.008152770809829235, 'logps/chosen': -283.20001220703125, 'logps/rejected': -142.39999389648438, 'logits/chosen': -6.193749904632568, 'logits/rejected': -6.546875, 'epoch': 0.02}
{'loss': 0.7911, 'grad_norm': 625.924560546875, 'learning_rate': 1.0303830911492733e-08, 'rewards/chosen': -0.04633178561925888, 'rewards/rejected': 0.02414550818502903, 'rewards/accuracies': 0.375, 'rewards/margins': -0.07018432766199112, 'logps/chosen': -416.6499938964844, 'logps/rejected': -175.10000610351562, 'logits/chosen': -6.268750190734863, 'logits/rejected': -6.5625, 'epoch': 0.03}
{'loss': 0.7379, 'grad_norm': 376.1247863769531, 'learning_rate': 1.2945838837516512e-08, 'rewards/chosen': -0.034000396728515625, 'rewards/rejected': -0.014892578125, 'rewards/accuracies': 0.45625001192092896, 'rewards/margins': -0.01921386644244194, 'logps/chosen': -366.79998779296875, 'logps/rejected': -201.10000610351562, 'logits/chosen': -6.290625095367432, 'logits/rejected': -6.46875, 'epoch': 0.03}
{'loss': 0.7021, 'grad_norm': 77.28325653076172, 'learning_rate': 1.5587846763540292e-08, 'rewards/chosen': -0.0011768341064453125, 'rewards/rejected': 0.01597290113568306, 'rewards/accuracies': 0.4437499940395355, 'rewards/margins': -0.01722106896340847, 'logps/chosen': -227.35000610351562, 'logps/rejected': -122.4749984741211, 'logits/chosen': -6.384375095367432, 'logits/rejected': -6.590624809265137, 'epoch': 0.04}
{'loss': 0.6789, 'grad_norm': 70.47431182861328, 'learning_rate': 1.8229854689564068e-08, 'rewards/chosen': 0.0015853882068768144, 'rewards/rejected': -0.05510558933019638, 'rewards/accuracies': 0.5249999761581421, 'rewards/margins': 0.0567626953125, 'logps/chosen': -316.1499938964844, 'logps/rejected': -155.27499389648438, 'logits/chosen': -6.165625095367432, 'logits/rejected': -6.556250095367432, 'epoch': 0.05}
{'loss': 0.7275, 'grad_norm': 339.7402648925781, 'learning_rate': 2.0871862615587847e-08, 'rewards/chosen': 0.00121307373046875, 'rewards/rejected': 4.882812572759576e-05, 'rewards/accuracies': 0.40625, 'rewards/margins': 0.0010517120826989412, 'logps/chosen': -352.75, 'logps/rejected': -216.77499389648438, 'logits/chosen': -6.237500190734863, 'logits/rejected': -6.428124904632568, 'epoch': 0.05}
{'loss': 0.7252, 'grad_norm': 57.8846435546875, 'learning_rate': 2.3513870541611623e-08, 'rewards/chosen': -0.02165680006146431, 'rewards/rejected': 0.02965850755572319, 'rewards/accuracies': 0.39375001192092896, 'rewards/margins': -0.05139312893152237, 'logps/chosen': -322.25, 'logps/rejected': -167.25, 'logits/chosen': -6.368750095367432, 'logits/rejected': -6.650000095367432, 'epoch': 0.06}
{'loss': 0.7045, 'grad_norm': 42.9362678527832, 'learning_rate': 2.61558784676354e-08, 'rewards/chosen': -0.0050369263626635075, 'rewards/rejected': 0.001232147216796875, 'rewards/accuracies': 0.4000000059604645, 'rewards/margins': -0.00621795654296875, 'logps/chosen': -330.3999938964844, 'logps/rejected': -159.6750030517578, 'logits/chosen': -6.3125, 'logits/rejected': -6.675000190734863, 'epoch': 0.07}
{'loss': 0.6948, 'grad_norm': 547.7035522460938, 'learning_rate': 2.8797886393659182e-08, 'rewards/chosen': 0.0016998291248455644, 'rewards/rejected': -0.0026679993607103825, 'rewards/accuracies': 0.4437499940395355, 'rewards/margins': 0.00433425884693861, 'logps/chosen': -221.39999389648438, 'logps/rejected': -128.4499969482422, 'logits/chosen': -6.318749904632568, 'logits/rejected': -6.646874904632568, 'epoch': 0.07}
{'loss': 0.6967, 'grad_norm': 50.614967346191406, 'learning_rate': 3.143989431968296e-08, 'rewards/chosen': 0.0055297850631177425, 'rewards/rejected': 0.01071777381002903, 'rewards/accuracies': 0.4375, 'rewards/margins': -0.005207824520766735, 'logps/chosen': -429.8500061035156, 'logps/rejected': -149.5, 'logits/chosen': -6.118750095367432, 'logits/rejected': -6.65625, 'epoch': 0.08}
{'loss': 0.6848, 'grad_norm': 39.02923583984375, 'learning_rate': 3.408190224570674e-08, 'rewards/chosen': 0.08013916015625, 'rewards/rejected': -0.03523864597082138, 'rewards/accuracies': 0.4312500059604645, 'rewards/margins': 0.11544189602136612, 'logps/chosen': -398.6499938964844, 'logps/rejected': -264.25, 'logits/chosen': -6.171875, 'logits/rejected': -6.381249904632568, 'epoch': 0.09}
{'loss': 0.7084, 'grad_norm': 623.8947143554688, 'learning_rate': 3.672391017173051e-08, 'rewards/chosen': 0.07795409858226776, 'rewards/rejected': 0.03005218505859375, 'rewards/accuracies': 0.4000000059604645, 'rewards/margins': 0.04773407056927681, 'logps/chosen': -325.20001220703125, 'logps/rejected': -180.72500610351562, 'logits/chosen': -6.421875, 'logits/rejected': -6.775000095367432, 'epoch': 0.09}
{'loss': 0.7046, 'grad_norm': 35.90163040161133, 'learning_rate': 3.936591809775429e-08, 'rewards/chosen': 0.03713073581457138, 'rewards/rejected': 0.011798095889389515, 'rewards/accuracies': 0.4312500059604645, 'rewards/margins': 0.02525939978659153, 'logps/chosen': -282.8999938964844, 'logps/rejected': -116.9000015258789, 'logits/chosen': -6.346875190734863, 'logits/rejected': -6.6875, 'epoch': 0.1}
{'loss': 0.725, 'grad_norm': 224.4608154296875, 'learning_rate': 4.2007926023778065e-08, 'rewards/chosen': 0.05188598483800888, 'rewards/rejected': 0.034149933606386185, 'rewards/accuracies': 0.4124999940395355, 'rewards/margins': 0.01791992224752903, 'logps/chosen': -295.29998779296875, 'logps/rejected': -159.5749969482422, 'logits/chosen': -6.203125, 'logits/rejected': -6.615624904632568, 'epoch': 0.11}
{'loss': 0.7364, 'grad_norm': 48.73978042602539, 'learning_rate': 4.464993394980185e-08, 'rewards/chosen': 0.18583831191062927, 'rewards/rejected': 0.056240081787109375, 'rewards/accuracies': 0.46875, 'rewards/margins': 0.129638671875, 'logps/chosen': -464.25, 'logps/rejected': -206.3249969482422, 'logits/chosen': -6.050000190734863, 'logits/rejected': -6.699999809265137, 'epoch': 0.11}
{'loss': 0.6767, 'grad_norm': 48.877906799316406, 'learning_rate': 4.7291941875825624e-08, 'rewards/chosen': 0.14388427138328552, 'rewards/rejected': 0.030914306640625, 'rewards/accuracies': 0.45625001192092896, 'rewards/margins': 0.11270980536937714, 'logps/chosen': -283.8500061035156, 'logps/rejected': -181.875, 'logits/chosen': -6.337500095367432, 'logits/rejected': -6.59375, 'epoch': 0.12}
{'loss': 0.7588, 'grad_norm': 50.55908966064453, 'learning_rate': 4.99339498018494e-08, 'rewards/chosen': 0.13698729872703552, 'rewards/rejected': 0.04048805311322212, 'rewards/accuracies': 0.46875, 'rewards/margins': 0.09676666557788849, 'logps/chosen': -301.3999938964844, 'logps/rejected': -155.6999969482422, 'logits/chosen': -6.306250095367432, 'logits/rejected': -6.734375, 'epoch': 0.13}
{'loss': 0.7574, 'grad_norm': 512.3890991210938, 'learning_rate': 5.2575957727873176e-08, 'rewards/chosen': 0.19168701767921448, 'rewards/rejected': 0.13201598823070526, 'rewards/accuracies': 0.512499988079071, 'rewards/margins': 0.059906005859375, 'logps/chosen': -355.2250061035156, 'logps/rejected': -240.97500610351562, 'logits/chosen': -6.171875, 'logits/rejected': -6.590624809265137, 'epoch': 0.13}
{'loss': 0.6735, 'grad_norm': 47.441505432128906, 'learning_rate': 5.521796565389696e-08, 'rewards/chosen': 0.22111205756664276, 'rewards/rejected': 0.02451324462890625, 'rewards/accuracies': 0.5062500238418579, 'rewards/margins': 0.19632606208324432, 'logps/chosen': -295.1499938964844, 'logps/rejected': -194.64999389648438, 'logits/chosen': -6.25, 'logits/rejected': -6.537499904632568, 'epoch': 0.14}
{'loss': 0.6863, 'grad_norm': 51.00857925415039, 'learning_rate': 5.785997357992074e-08, 'rewards/chosen': 0.25138625502586365, 'rewards/rejected': 0.088531494140625, 'rewards/accuracies': 0.42500001192092896, 'rewards/margins': 0.16264954209327698, 'logps/chosen': -325.54998779296875, 'logps/rejected': -181.8000030517578, 'logits/chosen': -6.262499809265137, 'logits/rejected': -6.590624809265137, 'epoch': 0.15}
