  0%|          | 0/1605 [00:00<?, ?it/s]/usr/local/lib/python3.10/dist-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                   
{'loss': 0.6914, 'grad_norm': 51.316925048828125, 'learning_rate': 0.0, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -119.625, 'logps/rejected': -75.25, 'logits/chosen': -6.40625, 'logits/rejected': -6.703125, 'epoch': 0.0}
{'loss': 0.6914, 'grad_norm': 58.82353591918945, 'learning_rate': 7.006071929005137e-11, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -115.5, 'logps/rejected': -88.0, 'logits/chosen': -6.46875, 'logits/rejected': -6.65625, 'epoch': 0.0}
{'loss': 0.6914, 'grad_norm': 360.66522216796875, 'learning_rate': 1.4012143858010274e-10, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -410.0, 'logps/rejected': -271.5, 'logits/chosen': -6.390625, 'logits/rejected': -6.765625, 'epoch': 0.01}
{'loss': 0.6914, 'grad_norm': 53.37273406982422, 'learning_rate': 2.1018215787015413e-10, 'rewards/chosen': 0.0, 'rewards/rejected': -0.00156402587890625, 'rewards/accuracies': 0.0625, 'rewards/margins': 0.00156402587890625, 'logps/chosen': -110.25, 'logps/rejected': -114.25, 'logits/chosen': -6.40625, 'logits/rejected': -6.796875, 'epoch': 0.01}
{'loss': 0.6914, 'grad_norm': 48.91011047363281, 'learning_rate': 2.802428771602055e-10, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -92.5, 'logps/rejected': -85.0, 'logits/chosen': -6.859375, 'logits/rejected': -6.9375, 'epoch': 0.01}
{'loss': 0.6836, 'grad_norm': 622.88525390625, 'learning_rate': 3.5030359645025685e-10, 'rewards/chosen': 0.006256103515625, 'rewards/rejected': -0.013379096984863281, 'rewards/accuracies': 0.1875, 'rewards/margins': 0.01960468292236328, 'logps/chosen': -1001.0, 'logps/rejected': -393.5, 'logits/chosen': -5.4375, 'logits/rejected': -6.453125, 'epoch': 0.01}
{'loss': 0.7175, 'grad_norm': 390.166259765625, 'learning_rate': 4.2036431574030827e-10, 'rewards/chosen': -0.015625, 'rewards/rejected': -0.002349853515625, 'rewards/accuracies': 0.1875, 'rewards/margins': -0.013336181640625, 'logps/chosen': -536.75, 'logps/rejected': -182.5, 'logits/chosen': -5.96875, 'logits/rejected': -5.53125, 'epoch': 0.01}
{'loss': 0.7126, 'grad_norm': 473.4867858886719, 'learning_rate': 4.904250350303596e-10, 'rewards/chosen': 0.0, 'rewards/rejected': 0.02032470703125, 'rewards/accuracies': 0.25, 'rewards/margins': -0.0203704833984375, 'logps/chosen': -542.5, 'logps/rejected': -256.0, 'logits/chosen': -5.421875, 'logits/rejected': -5.875, 'epoch': 0.01}
{'loss': 0.678, 'grad_norm': 62.63352966308594, 'learning_rate': 5.60485754320411e-10, 'rewards/chosen': 0.05322265625, 'rewards/rejected': 0.00567626953125, 'rewards/accuracies': 0.5, 'rewards/margins': 0.047637939453125, 'logps/chosen': -186.0, 'logps/rejected': -63.5, 'logits/chosen': -6.21875, 'logits/rejected': -6.90625, 'epoch': 0.02}
{'loss': 0.678, 'grad_norm': 693.4932861328125, 'learning_rate': 6.305464736104624e-10, 'rewards/chosen': 0.0156402587890625, 'rewards/rejected': -0.0047607421875, 'rewards/accuracies': 0.25, 'rewards/margins': 0.0203857421875, 'logps/chosen': -838.0, 'logps/rejected': -479.0, 'logits/chosen': -6.046875, 'logits/rejected': -6.234375, 'epoch': 0.02}
{'loss': 0.6992, 'grad_norm': 357.6735534667969, 'learning_rate': 7.006071929005137e-10, 'rewards/chosen': -0.0187225341796875, 'rewards/rejected': -0.006641387939453125, 'rewards/accuracies': 0.3125, 'rewards/margins': -0.0120849609375, 'logps/chosen': -712.0, 'logps/rejected': -356.5, 'logits/chosen': -6.296875, 'logits/rejected': -6.4375, 'epoch': 0.02}
