  0%|          | 0/795 [00:00<?, ?it/s]`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
/usr/local/lib/python3.10/dist-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                       
{'loss': 0.6914, 'grad_norm': 556.3941650390625, 'learning_rate': 2.857142857142857e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -1780.0, 'logps/rejected': -1484.0, 'logits/chosen': -1.96875, 'logits/rejected': nan, 'epoch': 0.0}
{'loss': 0.6914, 'grad_norm': 395.1121826171875, 'learning_rate': 5.714285714285714e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -1344.0, 'logps/rejected': -1352.0, 'logits/chosen': nan, 'logits/rejected': nan, 'epoch': 0.01}
{'loss': 0.9763, 'grad_norm': 258.8309020996094, 'learning_rate': 8.571428571428572e-08, 'rewards/chosen': -0.251953125, 'rewards/rejected': -0.017822265625, 'rewards/accuracies': 0.09375, 'rewards/margins': -0.23388671875, 'logps/chosen': -1844.0, 'logps/rejected': -1836.0, 'logits/chosen': -1.53515625, 'logits/rejected': -1.90625, 'epoch': 0.01}
{'loss': 0.8909, 'grad_norm': 862.548828125, 'learning_rate': 1.1428571428571427e-07, 'rewards/chosen': -0.00390625, 'rewards/rejected': 0.0439453125, 'rewards/accuracies': 0.109375, 'rewards/margins': -0.0478515625, 'logps/chosen': -1386.0, 'logps/rejected': -1218.0, 'logits/chosen': -1.5703125, 'logits/rejected': -2.47265625, 'epoch': 0.02}
{'loss': 0.8162, 'grad_norm': 727.365478515625, 'learning_rate': 1.4285714285714285e-07, 'rewards/chosen': -0.00146484375, 'rewards/rejected': 0.005859375, 'rewards/accuracies': 0.078125, 'rewards/margins': -0.00732421875, 'logps/chosen': -1516.0, 'logps/rejected': -1314.0, 'logits/chosen': nan, 'logits/rejected': -2.51953125, 'epoch': 0.02}
{'loss': 0.8086, 'grad_norm': 204.9899139404297, 'learning_rate': 1.7142857142857143e-07, 'rewards/chosen': 0.3115234375, 'rewards/rejected': 0.18505859375, 'rewards/accuracies': 0.140625, 'rewards/margins': 0.126708984375, 'logps/chosen': -1404.0, 'logps/rejected': -1364.0, 'logits/chosen': -2.1640625, 'logits/rejected': -2.78125, 'epoch': 0.02}
{'loss': 0.6675, 'grad_norm': 417.14599609375, 'learning_rate': 2e-07, 'rewards/chosen': 0.216796875, 'rewards/rejected': -0.01416015625, 'rewards/accuracies': 0.140625, 'rewards/margins': 0.23046875, 'logps/chosen': -1604.0, 'logps/rejected': -1524.0, 'logits/chosen': nan, 'logits/rejected': -2.6796875, 'epoch': 0.03}
{'loss': 0.8762, 'grad_norm': 468.4859619140625, 'learning_rate': 2.2857142857142855e-07, 'rewards/chosen': 0.1357421875, 'rewards/rejected': 0.125, 'rewards/accuracies': 0.1875, 'rewards/margins': 0.0107421875, 'logps/chosen': -1848.0, 'logps/rejected': -1708.0, 'logits/chosen': -1.83984375, 'logits/rejected': nan, 'epoch': 0.03}
{'loss': 1.0868, 'grad_norm': 266.2324523925781, 'learning_rate': 2.571428571428571e-07, 'rewards/chosen': 0.669921875, 'rewards/rejected': 0.56494140625, 'rewards/accuracies': 0.1875, 'rewards/margins': 0.106201171875, 'logps/chosen': -1804.0, 'logps/rejected': -1752.0, 'logits/chosen': -1.84765625, 'logits/rejected': -2.2265625, 'epoch': 0.03}
{'loss': 1.0747, 'grad_norm': 537.5960083007812, 'learning_rate': 2.857142857142857e-07, 'rewards/chosen': 0.8984375, 'rewards/rejected': 0.685546875, 'rewards/accuracies': 0.203125, 'rewards/margins': 0.211181640625, 'logps/chosen': -1832.0, 'logps/rejected': -1648.0, 'logits/chosen': -1.80078125, 'logits/rejected': nan, 'epoch': 0.04}
{'loss': 0.851, 'grad_norm': 505.7348937988281, 'learning_rate': 3.142857142857143e-07, 'rewards/chosen': 0.98828125, 'rewards/rejected': 0.455078125, 'rewards/accuracies': 0.21875, 'rewards/margins': 0.53125, 'logps/chosen': -1508.0, 'logps/rejected': -1296.0, 'logits/chosen': -2.33203125, 'logits/rejected': -2.90625, 'epoch': 0.04}
{'loss': 0.801, 'grad_norm': 241.62216186523438, 'learning_rate': 3.4285714285714286e-07, 'rewards/chosen': 1.39453125, 'rewards/rejected': 1.08984375, 'rewards/accuracies': 0.203125, 'rewards/margins': 0.30224609375, 'logps/chosen': -1420.0, 'logps/rejected': -1336.0, 'logits/chosen': -1.82421875, 'logits/rejected': -2.4453125, 'epoch': 0.05}
{'loss': 0.9418, 'grad_norm': 239.11338806152344, 'learning_rate': 3.7142857142857145e-07, 'rewards/chosen': 2.2109375, 'rewards/rejected': 1.9375, 'rewards/accuracies': 0.171875, 'rewards/margins': 0.27734375, 'logps/chosen': -1616.0, 'logps/rejected': -1412.0, 'logits/chosen': -1.607421875, 'logits/rejected': -1.953125, 'epoch': 0.05}
{'loss': 0.83, 'grad_norm': 220.45509338378906, 'learning_rate': 4e-07, 'rewards/chosen': 3.15625, 'rewards/rejected': 2.1640625, 'rewards/accuracies': 0.265625, 'rewards/margins': 0.9921875, 'logps/chosen': -1940.0, 'logps/rejected': -1752.0, 'logits/chosen': -1.33984375, 'logits/rejected': -1.984375, 'epoch': 0.05}
{'loss': 0.7104, 'grad_norm': 188.00547790527344, 'learning_rate': 4.285714285714285e-07, 'rewards/chosen': 3.171875, 'rewards/rejected': 2.0546875, 'rewards/accuracies': 0.3125, 'rewards/margins': 1.115234375, 'logps/chosen': -1632.0, 'logps/rejected': -1428.0, 'logits/chosen': -2.11328125, 'logits/rejected': -2.5625, 'epoch': 0.06}
{'loss': 0.9264, 'grad_norm': 201.8921661376953, 'learning_rate': 4.571428571428571e-07, 'rewards/chosen': 3.828125, 'rewards/rejected': 2.7734375, 'rewards/accuracies': 0.21875, 'rewards/margins': 1.0625, 'logps/chosen': -1632.0, 'logps/rejected': -1476.0, 'logits/chosen': -1.349609375, 'logits/rejected': -1.9453125, 'epoch': 0.06}
{'loss': 0.933, 'grad_norm': 195.29736328125, 'learning_rate': 4.857142857142857e-07, 'rewards/chosen': 4.2734375, 'rewards/rejected': 3.0859375, 'rewards/accuracies': 0.234375, 'rewards/margins': 1.1845703125, 'logps/chosen': -1608.0, 'logps/rejected': -1484.0, 'logits/chosen': -1.74609375, 'logits/rejected': -2.0625, 'epoch': 0.06}
{'loss': 1.0908, 'grad_norm': 334.5554504394531, 'learning_rate': 5.142857142857142e-07, 'rewards/chosen': 4.84375, 'rewards/rejected': 4.046875, 'rewards/accuracies': 0.265625, 'rewards/margins': 0.78955078125, 'logps/chosen': -1820.0, 'logps/rejected': -1720.0, 'logits/chosen': -1.7421875, 'logits/rejected': nan, 'epoch': 0.07}
{'loss': 0.9973, 'grad_norm': 251.71348571777344, 'learning_rate': 5.428571428571428e-07, 'rewards/chosen': 3.7734375, 'rewards/rejected': 3.40625, 'rewards/accuracies': 0.21875, 'rewards/margins': 0.365234375, 'logps/chosen': -1424.0, 'logps/rejected': -1388.0, 'logits/chosen': -2.5078125, 'logits/rejected': nan, 'epoch': 0.07}
{'loss': 1.0325, 'grad_norm': 420.3136291503906, 'learning_rate': 5.714285714285714e-07, 'rewards/chosen': 4.3125, 'rewards/rejected': 3.796875, 'rewards/accuracies': 0.171875, 'rewards/margins': 0.51953125, 'logps/chosen': -1640.0, 'logps/rejected': -1588.0, 'logits/chosen': nan, 'logits/rejected': -2.3828125, 'epoch': 0.08}
