  0%|          | 0/4545 [00:00<?, ?it/s]/usr/local/lib/python3.10/dist-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                    
{'loss': 0.7304, 'grad_norm': 61.97761917114258, 'learning_rate': 5.9445178335535e-10, 'rewards/chosen': -0.04407653957605362, 'rewards/rejected': 0.0009277343633584678, 'rewards/accuracies': 0.11249999701976776, 'rewards/margins': -0.04497070237994194, 'logps/chosen': -447.75, 'logps/rejected': -256.82501220703125, 'logits/chosen': -6.0625, 'logits/rejected': -6.162499904632568, 'epoch': 0.01}
{'loss': 0.6869, 'grad_norm': 51.8979377746582, 'learning_rate': 1.2549537648612944e-09, 'rewards/chosen': 0.014034271240234375, 'rewards/rejected': 0.0016586303245276213, 'rewards/accuracies': 0.41874998807907104, 'rewards/margins': 0.012336445041000843, 'logps/chosen': -254.77499389648438, 'logps/rejected': -121.0999984741211, 'logits/chosen': -6.278124809265137, 'logits/rejected': -6.671875, 'epoch': 0.01}
{'loss': 0.6989, 'grad_norm': 49.02035903930664, 'learning_rate': 1.915455746367239e-09, 'rewards/chosen': -0.0071929930709302425, 'rewards/rejected': -0.008331298828125, 'rewards/accuracies': 0.4124999940395355, 'rewards/margins': 0.0011230468517169356, 'logps/chosen': -283.20001220703125, 'logps/rejected': -142.4499969482422, 'logits/chosen': -6.196875095367432, 'logits/rejected': -6.553124904632568, 'epoch': 0.02}
{'loss': 0.7029, 'grad_norm': 327.1829833984375, 'learning_rate': 2.5759577278731833e-09, 'rewards/chosen': 0.0021308897994458675, 'rewards/rejected': 0.0014190673828125, 'rewards/accuracies': 0.4124999940395355, 'rewards/margins': 0.0006835937383584678, 'logps/chosen': -416.0, 'logps/rejected': -175.1999969482422, 'logits/chosen': -6.268750190734863, 'logits/rejected': -6.565625190734863, 'epoch': 0.03}
{'loss': 0.7411, 'grad_norm': 378.5684814453125, 'learning_rate': 3.236459709379128e-09, 'rewards/chosen': -0.0414886474609375, 'rewards/rejected': 0.0005615234258584678, 'rewards/accuracies': 0.4437499940395355, 'rewards/margins': -0.04221801832318306, 'logps/chosen': -366.8500061035156, 'logps/rejected': -200.9499969482422, 'logits/chosen': -6.293749809265137, 'logits/rejected': -6.474999904632568, 'epoch': 0.03}
{'loss': 0.6881, 'grad_norm': 123.8697280883789, 'learning_rate': 3.896961690885073e-09, 'rewards/chosen': 0.01513519324362278, 'rewards/rejected': -0.005451965145766735, 'rewards/accuracies': 0.4625000059604645, 'rewards/margins': 0.0206451416015625, 'logps/chosen': -227.35000610351562, 'logps/rejected': -122.69999694824219, 'logits/chosen': -6.384375095367432, 'logits/rejected': -6.587500095367432, 'epoch': 0.04}
{'loss': 0.6996, 'grad_norm': 82.57534790039062, 'learning_rate': 4.557463672391017e-09, 'rewards/chosen': 0.022324372082948685, 'rewards/rejected': 0.0051422119140625, 'rewards/accuracies': 0.4749999940395355, 'rewards/margins': 0.017290115356445312, 'logps/chosen': -315.95001220703125, 'logps/rejected': -154.9250030517578, 'logits/chosen': -6.15625, 'logits/rejected': -6.559374809265137, 'epoch': 0.05}
{'loss': 0.7494, 'grad_norm': 343.72265625, 'learning_rate': 5.217965653896962e-09, 'rewards/chosen': -0.01509704627096653, 'rewards/rejected': 0.03540649265050888, 'rewards/accuracies': 0.40625, 'rewards/margins': -0.05038147047162056, 'logps/chosen': -352.8500061035156, 'logps/rejected': -216.60000610351562, 'logits/chosen': -6.240624904632568, 'logits/rejected': -6.425000190734863, 'epoch': 0.05}
{'loss': 0.7113, 'grad_norm': 55.7037467956543, 'learning_rate': 5.878467635402906e-09, 'rewards/chosen': -0.013209533877670765, 'rewards/rejected': 0.018524551764130592, 'rewards/accuracies': 0.3812499940395355, 'rewards/margins': -0.03171386569738388, 'logps/chosen': -322.1000061035156, 'logps/rejected': -167.375, 'logits/chosen': -6.375, 'logits/rejected': -6.653124809265137, 'epoch': 0.06}
{'loss': 0.7407, 'grad_norm': 42.22023391723633, 'learning_rate': 6.53896961690885e-09, 'rewards/chosen': -0.053484342992305756, 'rewards/rejected': -0.00311279296875, 'rewards/accuracies': 0.375, 'rewards/margins': -0.05026855319738388, 'logps/chosen': -330.54998779296875, 'logps/rejected': -159.8249969482422, 'logits/chosen': -6.306250095367432, 'logits/rejected': -6.671875, 'epoch': 0.07}
{'loss': 0.6977, 'grad_norm': 544.1755981445312, 'learning_rate': 7.1994715984147955e-09, 'rewards/chosen': -0.0012695312034338713, 'rewards/rejected': -0.00612640380859375, 'rewards/accuracies': 0.41874998807907104, 'rewards/margins': 0.0048828125, 'logps/chosen': -221.4499969482422, 'logps/rejected': -128.39999389648438, 'logits/chosen': -6.318749904632568, 'logits/rejected': -6.640625, 'epoch': 0.07}
